74.75 1.30463 0 0
75 1.309 0 0
75.25 1.31336 0 0
75.5 1.31772 0 0
75.75 1.32209 0 0
76 1.32645 0 0
76.25 1.33081 0 0
76.5 1.33518 0 0
76.75 1.33954 0 0
77 1.3439 0 0
77.25 1.34827 0 0
77.5 1.35263 0 0
77.75 1.35699 0 0
78 1.36136 0 0
78.25 1.36572 0 0
78.5 1.37008 0 0
78.75 1.37445 0 0
79 1.37881 0 0
79.25 1.38317 0 0
79.5 1.38754 0 0
79.75 1.3919 0 0
80 1.39626 0 0
80.25 1.40063 0 0
80.5 1.40499 0 0
80.75 1.40935 0 0
81 1.41372 0 0
81.25 1.41808 0 0
81.5 1.42244 0 0
81.75 1.42681 0 0
82 1.43117 0 0
82.25 1.43553 0 0
82.5 1.4399 0 0
82.75 1.44426 0 0
83 1.44862 0 0
83.25 1.45299 0 0
83.5 1.45735 0 0
83.75 1.46171 0 0
84 1.46608 0 0
84.25 1.47044 0 0
84.5 1.4748 0 0
84.75 1.47917 0 0
85 1.48353 0 0
85.25 1.48789 0 0
85.5 1.49226 0 0
85.75 1.49662 0 0
86 1.50098 0 0
86.25 1.50535 0 0
86.5 1.50971 0 0
86.75 1.51407 0 0
87 1.51844 0 0
87.25 1.5228 0 0
87.5 1.52716 0 0
87.75 1.53153 0 0
88 1.53589 0 0
88.25 1.54025 0 0
88.5 1.54462 0 0
88.75 1.54898 0 0
89 1.55334 0 0
89.25 1.55771 0 0
89.5 1.56207 0 0
89.75 1.56643 0 0
90 1.57079 0 0
